hora,timegps,time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
14:26:49.080,0,2019-03-13T14:26:49.080Z,0.343052,-78.120867,2257,14,81.8,0.75,9,gps,1.4,0.8,1.6,30,,,,82,
14:26:58.061,00:00:09,2019-03-13T14:26:58.061Z,0.343115,-78.121096,2266,11,81.8,0.25,7,gps,1.4,0.8,1.6,30,,,,82,
14:27:10.061,00:00:12,2019-03-13T14:27:10.061Z,0.342878,-78.120719,2250,11,197.6,2.75,7,gps,1.1,0.8,1.4,30,,,,82,
14:27:19.069,00:00:09,2019-03-13T14:27:19.069Z,0.342569,-78.120843,2243,17,190.9,4.25,10,gps,1.1,0.9,1.4,30,,,,82,
14:27:24.063,00:00:05,2019-03-13T14:27:24.063Z,0.342425,-78.120824,2253,15,124.3,1.75,11,gps,1,0.8,1.3,30,,,,82,
14:27:30.047,00:00:06,2019-03-13T14:27:30.047Z,0.342413,-78.120848,2242,12,101.6,2.5,8,gps,1.5,0.9,1.7,30,,,,82,
14:27:36.066,00:00:06,2019-03-13T14:27:36.066Z,0.342302,-78.120378,2238,8,102.9,5.25,11,gps,1,0.8,1.3,30,,,,82,
14:27:41.059,00:00:05,2019-03-13T14:27:41.059Z,0.34238,-78.120086,2240,26,97.4,5.25,6,gps,1.2,0.9,1.5,30,,,,82,
14:27:48.065,00:00:07,2019-03-13T14:27:48.065Z,0.342306,-78.12009,2267,18,95.6,2.5,10,gps,1,0.9,1.4,30,,,,82,
14:27:55.067,00:00:07,2019-03-13T14:27:55.067Z,0.342275,-78.119777,2255,19,111.1,3,8,gps,1,0.8,1.3,30,,,,82,
14:28:02.072,00:00:07,2019-03-13T14:28:02.072Z,0.341909,-78.119781,2258,28,180,4.5,10,gps,1.1,0.9,1.4,30,,,,82,
14:28:09.058,00:00:07,2019-03-13T14:28:09.058Z,0.341767,-78.119892,2262,20,146,1.25,9,gps,1.4,0.8,1.6,30,,,,82,
